Zip,City,Date,Price
30044,Lawrenceville,4/30/2002,157922
30044,Lawrenceville,5/31/2002,158562
30044,Lawrenceville,6/30/2002,159163
30044,Lawrenceville,7/31/2002,159711
30044,Lawrenceville,8/31/2002,160210
30044,Lawrenceville,9/30/2002,160733
30044,Lawrenceville,10/31/2002,161229
30044,Lawrenceville,11/30/2002,161597
30044,Lawrenceville,12/31/2002,161958
30044,Lawrenceville,1/31/2003,162371
30044,Lawrenceville,2/28/2003,162768
30044,Lawrenceville,3/31/2003,163197
30044,Lawrenceville,4/30/2003,163425
30044,Lawrenceville,5/31/2003,163567
30044,Lawrenceville,6/30/2003,163623
30044,Lawrenceville,7/31/2003,163757
30044,Lawrenceville,8/31/2003,163943
30044,Lawrenceville,9/30/2003,164177
30044,Lawrenceville,10/31/2003,164487
30044,Lawrenceville,11/30/2003,164952
30044,Lawrenceville,12/31/2003,165373
30044,Lawrenceville,1/31/2004,165610
30044,Lawrenceville,2/29/2004,165735
30044,Lawrenceville,3/31/2004,165866
30044,Lawrenceville,4/30/2004,166165
30044,Lawrenceville,5/31/2004,166513
30044,Lawrenceville,6/30/2004,166857
30044,Lawrenceville,7/31/2004,167198
30044,Lawrenceville,8/31/2004,167597
30044,Lawrenceville,9/30/2004,167920
30044,Lawrenceville,10/31/2004,168130
30044,Lawrenceville,11/30/2004,168223
30044,Lawrenceville,12/31/2004,168385
30044,Lawrenceville,1/31/2005,168747
30044,Lawrenceville,2/28/2005,169187
30044,Lawrenceville,3/31/2005,169559
30044,Lawrenceville,4/30/2005,169780
30044,Lawrenceville,5/31/2005,170008
30044,Lawrenceville,6/30/2005,170281
30044,Lawrenceville,7/31/2005,170601
30044,Lawrenceville,8/31/2005,170873
30044,Lawrenceville,9/30/2005,171351
30044,Lawrenceville,10/31/2005,171876
30044,Lawrenceville,11/30/2005,172549
30044,Lawrenceville,12/31/2005,173082
30044,Lawrenceville,1/31/2006,173682
30044,Lawrenceville,2/28/2006,174202
30044,Lawrenceville,3/31/2006,174660
30044,Lawrenceville,4/30/2006,175119
30044,Lawrenceville,5/31/2006,175564
30044,Lawrenceville,6/30/2006,176108
30044,Lawrenceville,7/31/2006,176517
30044,Lawrenceville,8/31/2006,176868
30044,Lawrenceville,9/30/2006,177016
30044,Lawrenceville,10/31/2006,177162
30044,Lawrenceville,11/30/2006,177406
30044,Lawrenceville,12/31/2006,177879
30044,Lawrenceville,1/31/2007,178302
30044,Lawrenceville,2/28/2007,178599
30044,Lawrenceville,3/31/2007,178884
30044,Lawrenceville,4/30/2007,178971
30044,Lawrenceville,5/31/2007,179102
30044,Lawrenceville,6/30/2007,178999
30044,Lawrenceville,7/31/2007,179017
30044,Lawrenceville,8/31/2007,178976
30044,Lawrenceville,9/30/2007,178649
30044,Lawrenceville,10/31/2007,178422
30044,Lawrenceville,11/30/2007,178000
30044,Lawrenceville,12/31/2007,177971
30044,Lawrenceville,1/31/2008,177275
30044,Lawrenceville,2/29/2008,176849
30044,Lawrenceville,3/31/2008,175568
30044,Lawrenceville,4/30/2008,174699
30044,Lawrenceville,5/31/2008,173220
30044,Lawrenceville,6/30/2008,171877
30044,Lawrenceville,7/31/2008,169964
30044,Lawrenceville,8/31/2008,167721
30044,Lawrenceville,9/30/2008,166040
30044,Lawrenceville,10/31/2008,164252
30044,Lawrenceville,11/30/2008,161971
30044,Lawrenceville,12/31/2008,158289
30044,Lawrenceville,1/31/2009,155053
30044,Lawrenceville,2/28/2009,151728
30044,Lawrenceville,3/31/2009,149585
30044,Lawrenceville,4/30/2009,146895
30044,Lawrenceville,5/31/2009,144893
30044,Lawrenceville,6/30/2009,142601
30044,Lawrenceville,7/31/2009,141341
30044,Lawrenceville,8/31/2009,140417
30044,Lawrenceville,9/30/2009,139528
30044,Lawrenceville,10/31/2009,138206
30044,Lawrenceville,11/30/2009,137159
30044,Lawrenceville,12/31/2009,136645
30044,Lawrenceville,1/31/2010,135949
30044,Lawrenceville,2/28/2010,134863
30044,Lawrenceville,3/31/2010,133499
30044,Lawrenceville,4/30/2010,132693
30044,Lawrenceville,5/31/2010,132186
30044,Lawrenceville,6/30/2010,131875
30044,Lawrenceville,7/31/2010,130264
30044,Lawrenceville,8/31/2010,127848
30044,Lawrenceville,9/30/2010,124407
30044,Lawrenceville,10/31/2010,121459
30044,Lawrenceville,11/30/2010,118939
30044,Lawrenceville,12/31/2010,117204
30044,Lawrenceville,1/31/2011,115270
30044,Lawrenceville,2/28/2011,113898
30044,Lawrenceville,3/31/2011,111465
30044,Lawrenceville,4/30/2011,109238
30044,Lawrenceville,5/31/2011,106213
30044,Lawrenceville,6/30/2011,103540
30044,Lawrenceville,7/31/2011,101480
30044,Lawrenceville,8/31/2011,100693
30044,Lawrenceville,9/30/2011,101077
30044,Lawrenceville,10/31/2011,100967
30044,Lawrenceville,11/30/2011,100226
30044,Lawrenceville,12/31/2011,98540
30044,Lawrenceville,1/31/2012,97806
30044,Lawrenceville,2/29/2012,96698
30044,Lawrenceville,3/31/2012,97196
30044,Lawrenceville,4/30/2012,97602
30044,Lawrenceville,5/31/2012,98412
30044,Lawrenceville,6/30/2012,99179
30044,Lawrenceville,7/31/2012,99950
30044,Lawrenceville,8/31/2012,100209
30044,Lawrenceville,9/30/2012,99787
30044,Lawrenceville,10/31/2012,100404
30044,Lawrenceville,11/30/2012,101843
30044,Lawrenceville,12/31/2012,104075
30044,Lawrenceville,1/31/2013,105868
